OBJECT_ID	SA2022	Factor
B17220	A017001001	0.6762
B10635	A017002001	0.7132
B10636	A017002003/01	0.6728
B10610	A017002002	0.7288
B17257	A017003002	0.724
B16668	A017003001	0.6987
B14842	A017004003	0.7435
B14843	A017004001	0.7266
B11802	A017004002	0.7222
B15031	A017005001	0.7589
B15030	A017005002	0.7555
B16527	A017006001	0.7012
B16495	A017007001	0.7217
B11809	A017008004	1.0095
B11805	A017008003	0.7736
B11808	A017008002/017008001	0.6896
B11795	A017009002	0.6981
B14906	A017009001	0.6777
B00034	A017010043	1.2028
B07234	A017010015	1.1702
B00010	A017010042	0.9752
B18632	A017010022	0.9075
B00038	A017010040	0.9062
B00041	A017010049/017010048	0.8691
B00017	A017010041	0.8687
B00016	A017010028	0.7751
B00006	A017010009	0.7709
B00040	A017010008	0.765
B00012	A017010048	0.7646
B00014	A017010035	0.762
B00036	A017010017	0.7598
B00019	A017010002	0.759
B00005	A017010036	0.7577
B00037	A017010027	0.7569
B00027	A017010010	0.7557
B00022	A017010026	0.7529
B00025	A017010047	0.7527
B00035	A017010045	0.752
B00024	A017010018	0.7506
B00009	A017010044	0.7485
B00045	A017010038	0.7459
B00063	A017010001	0.7343
B00061	A017010003	0.7414
B00062	A017010039	0.6777
B00032	A017010024	0.7445
B00026	A017010013	0.7443
B00001	A017010016	0.744
B00003	A017010037	0.744
B00044	A017010004	0.743
B00029	A017010033	0.7427
B00021	A017010019	0.7388
B00031	A017010025	0.738
B00030	A017010034/01	0.7379
B00007	A017010029/017010046	0.7359
B00033	A017010032	0.7337
B00020	A017010011	0.7325
B00023	A017010023	0.7293
B00015	A017010021	0.7283
B00028	A017010031	0.7272
B00042	A017010034/02	0.7271
B00004	A017010005	0.727
B00043	A017010020	0.7268
B00002	A017010046	0.7262
B00011	A017010012/01	0.7259
B00039	A017010014	0.7246
B00013	A017010030	0.7244
B00018	A017010006/017010007	0.7139
B00008	A017010007	0.7065
B00046	A017010012/02	0.7064
B10624	A017011018	1.237
B10623	A017011017	1.1225
B10613	A017011023	1.046
B10630	A017011013	0.8702
B10616	A017011024	0.8383
B10625	A017011015	0.8381
B10615	A017011014	0.7761
B10629	A017011019	0.7742
B10633	A017011022	0.7732
B10614	A017011002	0.773
B10612	A017011009	0.7709
B10618	A017011020	0.7702
B10626	A017011016	0.7696
B10611	A017011012	0.7528
B10620	A017011011	0.7496
B10634	A017011004	0.748
B10619	A017011021	0.747
B10631	A017011005	0.7466
B10617	A017011001	0.7459
B10632	A017011010	0.7456
B10621	A017011007	0.7447
B10627	A017011003	0.7383
B10628	A017011006	0.7361
B10622	A017011008	0.7325
B14649	A017012001	0.7381
B14594	A017012004/02/017012002/017012003	0.6961
B14650	A017012004/01	0.7355
B14835	A017012004/02	0.5909
B07244	A017013002	0.7889
B00047	A017013004	0.7439
B00067	A017013001	0.6961
B00066	A017013003	0.7082
B17987	A017014001	0.7583
B17988	A017014002	0.6941
B17226	A017015001	0.7571
B17217	A017016002	0.7413
B17216	A017016001	0.7011
B07366	A017018003	0.7084
B07368	A017018002/017018001	0.7128
B17219	A017019002	0.7368
B17218	A017019001	0.7107
B16716	A017020001	0.7094
B10735	A107052006	0.7752
B10731	A107052012	0.7666
B10726	A107052015	0.7561
B10728	A107052011	0.7559
B10730	A107052008	0.7542
B10722	A107052005	0.75
B10734	A107052016	0.7466
B10747	A107052017	0.7169
B10746	A107052010	0.7058
B10724	A107052003	0.744
B10723	A107052007	0.7395
B11733	A107052002	0.7335
B10729	A107052009	0.7311
B10733	A107052004	0.7295
B10732	A107052001	0.7292
B10725	A107052013	0.7143
B10727	A107052014	0.6896
B11626	A017054007	0.9078
B11630	A017054001	0.7745
B11628	A017054003	0.7736
B11629	A017054006	0.7658
B11625	A017054002	0.7574
B11627	A017054004/017054005	0.7523
B17259	A017021001	0.7332
B18525	A017021002	0.7106
B07208	A017022003	1.103
B07209	A017022004	0.9373
B00070	A017022002	0.6986
B00071	A017022001	0.7219
B18484	A017023001	0.729
B07235	A017024002	0.7518
B06454	A017024001	0.6752
B14971	A017025001	0.714
B11799	A017025003	0.6864
B11798	A017025002	0.6363
B17255	A017026002	0.7507
B17256	A017026001	0.7075
B17228	A017027001	0.736
B17227	A017027002	0.7365
B17980	A017028001	0.6729
B18483	A017029001	0.6998
B17225	A017030001	0.7139
B08631	A017031004	0.797
B10534	A017031005/02	0.7246
B10535	A017031006	0.6771
B08628	A017031005/01/017031003	0.7755
B08629	A017031001	0.6922
B08630	A017031002	0.7182
B16718	A017032001	0.6988
B15026	A017033001	0.7283
B15027	A017033002	0.6714
B08623	A017034003	1.2826
B08626	A017034006	1.1287
B08622	A017034004	1.0291
B08619	A017034010	0.9221
B08617	A017034001	0.8914
B08624	A017034002	0.8304
B08618	A017034008	0.8256
B08620	A017034007	0.818
B08625	A017034005	0.8065
B08621	A017034009	0.8022
B08627	A017034011	0.7956
B11792	A017035002/01	0.7663
B15029	A017035001	0.7435
B15028	A017035002/02	0.7285
B17221	A017036001	0.7574
B17222	A017036002	0.7141
B17258	A017036003	0.6981
B17418	A017037002	0.7461
B16516	A017037001	0.6714
B14932	A017038001	0.7591
B11807	A017038002	0.6916
B11806	A017038003	0.681
B16526	A017039001	0.7403
B16670	A017040001/017040002	0.7521
B11804	A017041002	0.7135
B11803	A017041001/01	0.7141
B18560	A017041001/02	0.6437
B14931	A017041003	0.6805
B11793	A017042004	1.0966
B11797	A017042001	0.7427
B11796	A017042002/017042003	0.7358
B16515	A017043001	0.7288
B15024	A017044002	0.7538
B15025	A017044001	0.7051
B17215	A017045001	0.7111
B17214	A017045002	0.7104
B17985	A017046001	0.6961
B17224	A017047002	0.7105
B17223	A017047001	0.6931
B18485	A017048001	0.7064
B00064	A017050004	0.7517
B00065	A017050002	0.6898
B07101	A017050001	0.7697
B07137	A017050003	0.7556
B00057	A017051010	1.0715
B00055	A017051003	0.9393
B00054	A017051009	0.9376
B00056	A017051005	0.9362
B00059	A017051014	0.9011
B00052	A017051011	0.867
B00068	A017051007	0.8661
B00048	A017051006	0.7993
B00050	A017051008	0.7959
B00058	A017051002	0.7938
B00060	A017051013	0.7897
B00053	A017051004	0.7879
B00051	A017051001	0.7809
B00049	A017051012	0.7638
B07100	A017052001	0.7815
B00069	A017052002	0.762
B17986	A017053001	0.7182
B17088	A027001003	1.0203
B17091	A027001001	1.0073
B17089	A027001004	0.9801
B17087	A027001002	0.9598
B06344	A027002005	1.0432
B07199	A027002003	0.9931
B06366	A027002002	0.9902
B06367	A027002001	0.9807
B06368	A027002004	0.9811
B15596	A027003001	0.983
B15595	A027003002	0.9605
B14898	A027004013	1.575
B14897	A027004012	1.3374
B14900	A027004014	1.2801
B14348	A027004017	1.2772
B14354	A027004016	1.1562
B14352	A027004010	1.1067
B14899	A027004015	1.0995
B14351	A027004018	1.0922
B14350	A027004008	1.0919
B14353	A027004006	1.0893
B14991	A027004007	1.0789
B14349	A027004011	1.0765
B14347	A027004005	0.9714
B14484	A027004002	0.9685
B14483	A027004003	0.9519
B14482	A027004004	1.0322
B14485	A027004001	1.014
B14901	A027004009	1.0596
B18150	A027005002	0.9963
B16146	A027005001	0.9552
B14345	A027006004	1.2565
B14847	A027006003	1.0098
B14849	A027006007	0.9922
B14346	A027006005	1.145
B14848	A027006006	0.9848
B14344	A027006008	0.8884
B14481	A027006001	1.0552
B14480	A027006002	0.9924
B14343	A027007004	1.1495
B14342	A027007003	0.9057
B14479	A027007001	0.9914
B14478	A027007002	0.9882
B14858	A027008011	1.1883
B14496	A027008004	1.1281
B14494	A027008005	1.0728
B14495	A027008012	1.0624
B14855	A027008006	1.0553
B14856	A027008009	1.0527
B14857	A027008007/027008011	1.0482
B14497	A027008008/027008003	1.0481
B14853	A027008003	1.0379
B14854	A027008002	1.0377
B14493	A027008001	0.9553
B14492	A027008010	0.9763
B16109	A027009001	1.0081
B18153	A027009002	0.9863
B16234	A027009003	1.0065
B16235	A027009004	0.9802
B16117	A027010001	1.0075
B17092	A027011003	1.0453
B17086	A027011002	0.9791
B17085	A027011001	0.9915
B14361	A027012003	1.1888
B14362	A027012004	0.9704
B14360	A027012005	0.943
B14488	A027012002	0.9815
B14489	A027012006/027012001	0.9695
B14791	A027013006	1.4421
B14358	A027013009	1.3787
B14359	A027013002	1.2302
B14357	A027013008	1.1084
B14792	A027013007	1.3414
B14790	A027013001	1.0945
B14487	A027013004	1.0857
B14356	A027013005	1.1062
B14355	A027013003	1.0458
B16121	A027015001	1.0146
B18108	A027016001	1.0071
B14893	A027017001	0.9713
B14486	A027017002	0.9067
B16159	A027018001	1.0455
B16160	A027018002	0.9784
B16122	A027019001	1.0165
B15889	A027020002	0.9949
B15821	A027020001	0.9751
B16043	A027021001	0.9698
B17126	A027021002	0.9308
B15710	A027022003	1.0105
B15683	A027022002	0.9799
B15814	A027022004	0.9962
B15682	A027022001	0.9666
B16046	A027023001	0.9602
B11510	A027024023	1.1777
B11509	A027024024	1.0654
B11493	A027024017	1.0571
B11724	A027024020	1.0481
B11495	A027024021	1.038
B11492	A027024006	1.0354
B11498	A027024019	1.0345
B11558	A027024001	1.0338
B11505	A027024009	1.0265
B11496	A027024022	1.026
B11503	A027024008	1.026
B11490	A027024016	1.0259
B11502	A027024007	1.0241
